"INDICATOR","HFA_617"

"HFA_617","GINI coefficient (income distribution)"

"UNIT_TYPE","Unit"
"SCORE","score"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"SCORE","Score"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"
"JMF","Joint Monitoring Framework (JMF)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"MDA","","ALL","1997","36.9"
"MDA","","ALL","1998","39.5"
"MDA","","ALL","1999","42.6"
"MDA","","ALL","2000","36.4"
"MDA","","ALL","2001","38"
"MDA","","ALL","2002","35.8"
"MDA","","ALL","2003","34.9"
"MDA","","ALL","2004","35"
"MDA","","ALL","2005","36.3"
"MDA","","ALL","2006","35.4"
"MDA","","ALL","2007","34.4"
"MDA","","ALL","2008","34.7"
"MDA","","ALL","2009","32.9"
"MDA","","ALL","2010","32.1"
"MDA","","ALL","2011","30.6"
"MDA","","ALL","2012","29.2"
"MDA","","ALL","2013","28.5"
"MDA","","ALL","2014","26.8"
"MDA","","ALL","2015","27"
"MDA","","ALL","2016","26.3"
"MDA","","ALL","2017","25.9"
"MDA","","ALL","2018","25.7"
"MKD","","ALL","1999","30.7"
"MKD","","ALL","2000","31.9"
"MKD","","ALL","2001","32.4"
"MKD","","ALL","2002","33.6"
"MKD","","ALL","2003","33.7"
"MKD","","ALL","2004","35.2"
"MKD","","ALL","2005","37"
"MKD","","ALL","2006","38.8"
"MKD","","ALL","2009","42.8"
"MKD","","ALL","2010","40.2"
"MKD","","ALL","2011","39.4"
"MKD","","ALL","2012","38.1"
"MKD","","ALL","2013","36.2"
"MKD","","ALL","2014","35.2"
"MKD","","ALL","2015","35.6"
"MKD","","ALL","2016","34.5"
"MKD","","ALL","2017","34.2"
"MKD","","ALL","2018","33"
"MKD","","ALL","2019","30.7"
"MLT","","ALL","1999","28"
"MLT","","ALL","2000","30"
"MLT","","ALL","2001","28.2"
"MLT","","ALL","2002","28.6"
"MLT","","ALL","2003","28.1"
"MLT","","ALL","2004","27.7"
"MLT","","ALL","2005","27"
"MLT","","ALL","2006","28"
"MLT","","ALL","2007","29.2"
"MLT","","ALL","2008","29"
"MLT","","ALL","2009","30.2"
"MLT","","ALL","2010","29"
"MLT","","ALL","2011","29.1"
"MLT","","ALL","2012","29.4"
"MLT","","ALL","2013","28.8"
"MLT","","ALL","2014","29"
"MLT","","ALL","2015","29.4"
"MLT","","ALL","2016","29.1"
"MLT","","ALL","2017","29.2"
"MLT","","ALL","2018","28.7"
"MLT","","ALL","2019","28"
"MNE","","ALL","1999","34.1"
"MNE","","ALL","2000","34.7"
"MNE","","ALL","2001","36.7"
"MNE","","ALL","2002","36.5"
"MNE","","ALL","2003","36.5"
"MNE","","ALL","2004","36.5"
"MNE","","ALL","2005","38.5"
"MNE","","ALL","2006","30"
"MNE","","ALL","2007","31.4"
"MNE","","ALL","2008","30.5"
"MNE","","ALL","2009","31"
"MNE","","ALL","2010","28.9"
"MNE","","ALL","2011","30.8"
"MNE","","ALL","2012","41.2"
"MNE","","ALL","2013","39"
"MNE","","ALL","2014","38.8"
"MNE","","ALL","2015","39"
"MNE","","ALL","2016","38.5"
"MNE","","ALL","2017","36.7"
"MNE","","ALL","2018","34.7"
"MNE","","ALL","2019","34.1"
"NLD","","ALL","1995","29"
"NLD","","ALL","1996","29"
"NLD","","ALL","1997","26"
"NLD","","ALL","1998","25"
"NLD","","ALL","1999","28.1"
"NLD","","ALL","2000","29"
"NLD","","ALL","2001","27"
"NLD","","ALL","2002","27"
"NLD","","ALL","2003","26.7"
"NLD","","ALL","2004","29.8"
"NLD","","ALL","2005","29"
"NLD","","ALL","2006","30"
"NLD","","ALL","2007","29.6"
"NLD","","ALL","2008","29.3"
"NLD","","ALL","2009","27.9"
"NLD","","ALL","2010","27.8"
"NLD","","ALL","2011","27.8"
"NLD","","ALL","2012","27.6"
"NLD","","ALL","2013","28.1"
"NLD","","ALL","2014","28.6"
"NLD","","ALL","2015","28.2"
"NLD","","ALL","2016","28.2"
"NLD","","ALL","2017","28.5"
"NLD","","ALL","2018","28.1"
"NLD","","ALL","2019","26.8"
"NOR","","ALL","1999","25.4"
"NOR","","ALL","2000","27.4"
"NOR","","ALL","2001","26.1"
"NOR","","ALL","2002","25"
"NOR","","ALL","2003","27.6"
"NOR","","ALL","2004","31.6"
"NOR","","ALL","2005","30.6"
"NOR","","ALL","2006","26.4"
"NOR","","ALL","2007","27.1"
"NOR","","ALL","2008","27"
"NOR","","ALL","2009","26.2"
"NOR","","ALL","2010","25.7"
"NOR","","ALL","2011","25.3"
"NOR","","ALL","2012","25.7"
"NOR","","ALL","2013","26.4"
"NOR","","ALL","2014","26.8"
"NOR","","ALL","2015","27.5"
"NOR","","ALL","2016","28.5"
"NOR","","ALL","2017","27"
"NOR","","ALL","2018","27.6"
"NOR","","ALL","2019","25.4"
"","NORDIC","ALL","1997","21.83"
"","NORDIC","ALL","1999","22.85"
"","NORDIC","ALL","2000","26.44"
"","NORDIC","ALL","2001","24.61"
"","NORDIC","ALL","2002","25.07"
"","NORDIC","ALL","2003","26.33"
"","NORDIC","ALL","2004","27.27"
"","NORDIC","ALL","2005","27.36"
"","NORDIC","ALL","2006","26.68"
"","NORDIC","ALL","2007","27.19"
"","NORDIC","ALL","2008","27.24"
"","NORDIC","ALL","2009","27.02"
"","NORDIC","ALL","2010","27.19"
"","NORDIC","ALL","2011","27.08"
"","NORDIC","ALL","2012","27.16"
"","NORDIC","ALL","2013","27.89"
"","NORDIC","ALL","2014","27.75"
"","NORDIC","ALL","2015","28.19"
"","NORDIC","ALL","2016","28.54"
"","NORDIC","ALL","2017","28.11"
"","NORDIC","ALL","2018","28.51"
"","NORDIC","ALL","2019","26.81"
"POL","","ALL","1999","28.5"
"POL","","ALL","2000","30"
"POL","","ALL","2001","30"
"POL","","ALL","2002","29.8"
"POL","","ALL","2003","30.6"
"POL","","ALL","2004","38"
"POL","","ALL","2005","35.8"
"POL","","ALL","2006","34.7"
"POL","","ALL","2007","34"
"POL","","ALL","2008","33.5"
"POL","","ALL","2009","33.4"
"POL","","ALL","2010","33.2"
"POL","","ALL","2011","33.2"
"POL","","ALL","2012","33"
"POL","","ALL","2013","33.1"
"POL","","ALL","2014","32.8"
"POL","","ALL","2015","31.8"
"POL","","ALL","2016","31.2"
"POL","","ALL","2017","29.7"
"POL","","ALL","2018","30.2"
"POL","","ALL","2019","28.5"
"PRT","","ALL","1995","37"
"PRT","","ALL","1996","36"
"PRT","","ALL","1997","36"
"PRT","","ALL","1998","37"
"PRT","","ALL","1999","36"
"PRT","","ALL","2000","36"
"PRT","","ALL","2001","37"
"PRT","","ALL","2002","33.9"
"PRT","","ALL","2003","38.8"
"PRT","","ALL","2004","38.9"
"PRT","","ALL","2005","38.5"
"PRT","","ALL","2006","38.1"
"PRT","","ALL","2007","36.8"
"PRT","","ALL","2008","36.6"
"PRT","","ALL","2009","34.9"
"PRT","","ALL","2010","35.8"
"PRT","","ALL","2011","36.3"
"PRT","","ALL","2012","36"
"PRT","","ALL","2013","36.2"
"PRT","","ALL","2014","35.6"
"PRT","","ALL","2015","35.5"
"PRT","","ALL","2016","35.2"
"PRT","","ALL","2017","33.8"
"PRT","","ALL","2018","33.5"
"PRT","","ALL","2019","31.9"
"ROU","","ALL","1999","34.8"
"ROU","","ALL","2000","29"
"ROU","","ALL","2001","30"
"ROU","","ALL","2002","30"
"ROU","","ALL","2003","37.4"
"ROU","","ALL","2004","35"
"ROU","","ALL","2005","34.6"
"ROU","","ALL","2006","39.6"
"ROU","","ALL","2007","37.5"
"ROU","","ALL","2008","36.4"
"ROU","","ALL","2009","35.6"
"ROU","","ALL","2010","35.5"
"ROU","","ALL","2011","35.9"
"ROU","","ALL","2012","36.5"
"ROU","","ALL","2013","36.9"
"ROU","","ALL","2014","36"
"ROU","","ALL","2015","35.9"
"ROU","","ALL","2016","34.4"
"ROU","","ALL","2017","36"
"ROU","","ALL","2018","35.8"
"ROU","","ALL","2019","34.8"
"RUS","","ALL","1996","46.1"
"RUS","","ALL","1997","38.4"
"RUS","","ALL","1998","38.1"
"RUS","","ALL","1999","37.4"
"RUS","","ALL","2000","37.1"
"RUS","","ALL","2001","36.9"
"RUS","","ALL","2002","37.3"
"RUS","","ALL","2003","40"
"RUS","","ALL","2004","40.3"
"RUS","","ALL","2005","41.3"
"RUS","","ALL","2006","41"
"RUS","","ALL","2007","42.3"
"RUS","","ALL","2008","41.6"
"RUS","","ALL","2009","39.8"
"RUS","","ALL","2010","39.5"
"RUS","","ALL","2011","39.7"
"RUS","","ALL","2012","40.7"
"RUS","","ALL","2013","40.9"
"RUS","","ALL","2014","39.9"
"RUS","","ALL","2015","37.7"
"RUS","","ALL","2016","36.8"
"RUS","","ALL","2017","37.2"
"RUS","","ALL","2018","37.5"
"","SEEHN","ALL","1999","35.56"
"","SEEHN","ALL","2000","31.11"
"","SEEHN","ALL","2001","32.18"
"","SEEHN","ALL","2002","32.6"
"","SEEHN","ALL","2003","37.09"
"","SEEHN","ALL","2004","35.95"
"","SEEHN","ALL","2005","35.99"
"","SEEHN","ALL","2006","37.83"
"","SEEHN","ALL","2007","37.06"
"","SEEHN","ALL","2008","36.45"
"","SEEHN","ALL","2009","36.22"
"","SEEHN","ALL","2010","36.37"
"","SEEHN","ALL","2011","36.19"
"","SEEHN","ALL","2012","36.56"
"","SEEHN","ALL","2013","36.65"
"","SEEHN","ALL","2014","36.43"
"","SEEHN","ALL","2015","36.34"
"","SEEHN","ALL","2016","35.83"
"","SEEHN","ALL","2017","36"
"","SEEHN","ALL","2018","35.9"
"","SEEHN","ALL","2019","35.08"
"","SMALL","ALL","1999","29.79"
"","SMALL","ALL","2000","30.23"
"","SMALL","ALL","2001","30.54"
"","SMALL","ALL","2002","31.26"
"","SMALL","ALL","2003","32.03"
"","SMALL","ALL","2004","31.08"
"","SMALL","ALL","2005","31.73"
"","SMALL","ALL","2006","30.2"
"","SMALL","ALL","2007","30.68"
"","SMALL","ALL","2008","31.17"
"","SMALL","ALL","2009","30.97"
"","SMALL","ALL","2010","29.7"
"","SMALL","ALL","2011","30.88"
"","SMALL","ALL","2012","34.24"
"","SMALL","ALL","2013","33.86"
"","SMALL","ALL","2014","33.53"
"","SMALL","ALL","2015","33.36"
"","SMALL","ALL","2016","32.66"
"","SMALL","ALL","2017","32.18"
"","SMALL","ALL","2018","31.86"
"","SMALL","ALL","2019","30.5"
"SRB","","ALL","1999","33.3"
"SRB","","ALL","2000","35.6"
"SRB","","ALL","2001","37.8"
"SRB","","ALL","2002","39.8"
"SRB","","ALL","2003","40"
"SRB","","ALL","2004","38.3"
"SRB","","ALL","2005","38"
"SRB","","ALL","2012","39.9"
"SRB","","ALL","2013","39.5"
"SRB","","ALL","2014","40.5"
"SRB","","ALL","2015","40.5"
"SRB","","ALL","2016","38.8"
"SRB","","ALL","2017","36.2"
"SRB","","ALL","2018","35.6"
"SRB","","ALL","2019","33.3"
"SVK","","ALL","1999","22.8"
"SVK","","ALL","2000","20.9"
"SVK","","ALL","2001","23.2"
"SVK","","ALL","2002","24.3"
"SVK","","ALL","2003","23.7"
"SVK","","ALL","2004","27.1"
"SVK","","ALL","2005","29.3"
"SVK","","ALL","2006","25.8"
"SVK","","ALL","2007","24.7"
"SVK","","ALL","2008","26"
"SVK","","ALL","2009","27.2"
"SVK","","ALL","2010","27.3"
"SVK","","ALL","2011","26.5"
"SVK","","ALL","2012","26.1"
"SVK","","ALL","2013","28.1"
"SVK","","ALL","2014","26.1"
"SVK","","ALL","2015","26.5"
"SVK","","ALL","2016","25.2"
"SVK","","ALL","2017","23.2"
"SVK","","ALL","2018","25"
"SVK","","ALL","2019","22.8"
"SVN","","ALL","1999","23.9"
"SVN","","ALL","2000","22"
"SVN","","ALL","2001","22"
"SVN","","ALL","2002","22"
"SVN","","ALL","2003","24.5"
"SVN","","ALL","2004","24.8"
"SVN","","ALL","2005","24.6"
"SVN","","ALL","2006","24.4"
"SVN","","ALL","2007","24.4"
"SVN","","ALL","2008","23.7"
"SVN","","ALL","2009","24.8"
"SVN","","ALL","2010","24.9"
"SVN","","ALL","2011","24.9"
"SVN","","ALL","2012","25.6"
"SVN","","ALL","2013","26.2"
"SVN","","ALL","2014","25.7"
"SVN","","ALL","2015","25.4"
"SVN","","ALL","2016","24.8"
"SVN","","ALL","2017","24.2"
"SVN","","ALL","2018","24.6"
"SVN","","ALL","2019","23.9"
"SWE","","ALL","1997","21"
"SWE","","ALL","1999","22"
"SWE","","ALL","2000","27.2"
"SWE","","ALL","2001","24"
"SWE","","ALL","2002","23"
"SWE","","ALL","2003","25.3"
"SWE","","ALL","2004","26.1"
"SWE","","ALL","2005","26.8"
"SWE","","ALL","2006","26.4"
"SWE","","ALL","2007","27.1"
"SWE","","ALL","2008","28.1"
"SWE","","ALL","2009","27.3"
"SWE","","ALL","2010","27.7"
"SWE","","ALL","2011","27.6"
"SWE","","ALL","2012","27.6"
"SWE","","ALL","2013","28.8"
"SWE","","ALL","2014","28.4"
"SWE","","ALL","2015","29.2"
"SWE","","ALL","2016","29.6"
"SWE","","ALL","2017","28.8"
"SWE","","ALL","2018","30"
"SWE","","ALL","2019","27.6"
"TJK","","ALL","1999","29.5"
"TJK","","ALL","2003","32.7"
"TJK","","ALL","2004","33.6"
"TJK","","ALL","2007","32.2"
"TJK","","ALL","2009","30.8"
"TJK","","ALL","2015","34"
"TKM","","ALL","1998","40.8"
"TUR","","ALL","1999","41.7"
"TUR","","ALL","2000","43"
"TUR","","ALL","2001","43"
"TUR","","ALL","2002","41.4"
"TUR","","ALL","2003","42.2"
"TUR","","ALL","2004","41.3"
"TUR","","ALL","2005","42.6"
"TUR","","ALL","2006","39.6"
"TUR","","ALL","2007","38.4"
"TUR","","ALL","2008","39"
"TUR","","ALL","2009","39"
"TUR","","ALL","2010","38.8"
"TUR","","ALL","2011","40"
"TUR","","ALL","2012","40.2"
"TUR","","ALL","2013","40.2"
"TUR","","ALL","2014","41.2"
"TUR","","ALL","2015","42.9"
"TUR","","ALL","2016","41.9"
"TUR","","ALL","2017","41.4"
"TUR","","ALL","2018","41.9"
"TUR","","ALL","2019","41.9"
"UKR","","ALL","1995","39.3"
"UKR","","ALL","1996","35.2"
"UKR","","ALL","2002","29"
"UKR","","ALL","2003","28.7"
"UKR","","ALL","2004","28.9"
"UKR","","ALL","2005","29"
"UKR","","ALL","2006","29.8"
"UKR","","ALL","2007","27"
"UKR","","ALL","2008","26.6"
"UKR","","ALL","2009","25.3"
"UKR","","ALL","2010","24.8"
"UKR","","ALL","2011","24.6"
"UKR","","ALL","2012","24.7"
"UKR","","ALL","2013","24.6"
"UKR","","ALL","2014","24"
"UKR","","ALL","2015","25.5"
"UKR","","ALL","2016","25"
"UKR","","ALL","2017","26"
"UKR","","ALL","2018","26.1"
"UKR","","ALL","2019","26.6"
"UZB","","ALL","1998","44.7"
"UZB","","ALL","2000","36.1"
"UZB","","ALL","2002","33"
"UZB","","ALL","2003","35.3"
"","WHO_EURO","ALL","1999","32.98"
"","WHO_EURO","ALL","2000","33.76"
"","WHO_EURO","ALL","2001","32.79"
"","WHO_EURO","ALL","2002","32.56"
"","WHO_EURO","ALL","2003","34.04"
"","WHO_EURO","ALL","2004","34.55"
"","WHO_EURO","ALL","2005","34.8"
"","WHO_EURO","ALL","2006","34.38"
"","WHO_EURO","ALL","2007","34.49"
"","WHO_EURO","ALL","2008","34.23"
"","WHO_EURO","ALL","2009","33.77"
"","WHO_EURO","ALL","2010","33.86"
"","WHO_EURO","ALL","2011","33.92"
"","WHO_EURO","ALL","2012","34.09"
"","WHO_EURO","ALL","2013","34.26"
"","WHO_EURO","ALL","2014","34.1"
"","WHO_EURO","ALL","2015","34.01"
"","WHO_EURO","ALL","2016","33.72"
"","WHO_EURO","ALL","2017","33.46"
"","WHO_EURO","ALL","2018","33.51"
"","WHO_EURO","ALL","2019","32.61"

"Last update","2022.09.01 08:50:47 GMT"
"Description","GINI coefficient (income distribution)"
"Reference link","https://dw.euro.who.int/api/v3/measures/HFA_617?lang=En"

"Copyright"
"© WHO Regional Office for Europe 2023. All rights reserved.","https://www.who.int/about/policies/publishing/copyright"
